productive,mean_productive,id_dist,id_reg,year,trend,prod_disperssion_norm,trend_prediction
17.44,-1.0,1767.0,69.0,2012.0,-1.0,-1.0,-1.0
37.0,-1.0,1767.0,69.0,2013.0,-1.0,-1.0,-1.0
36.7,37.0,1767.0,69.0,2014.0,19.55999999999999,3.5139015429831,9.629999999999999
27.4,36.85,1767.0,69.0,2015.0,9.629999999999999,2.7563133640552997,2.957999999999999
38.6,33.699999999999996,1767.0,69.0,2016.0,2.957999999999999,2.1753897418592882,3.272000000000001
47.9,34.925,1767.0,69.0,2017.0,3.272000000000001,2.050195239913453,4.222857142857142
35.7,37.519999999999996,1767.0,69.0,2018.0,4.222857142857142,2.6739823123943296,2.802857142857142
27.3,37.260000000000005,1767.0,69.0,2019.0,1.0942857142857145,0.962957157784744,-0.37857142857142845
55.4,35.38000000000001,1767.0,69.0,2020.0,-0.3657142857142857,1.393445692883895,1.8928571428571421
37.7,40.980000000000004,1767.0,69.0,2021.0,2.682857142857143,2.7128210647151665,1.5678571428571435
46.98,40.8,1767.0,69.0,2022.0,0.27428571428571447,2.001126683154712,0.8728571428571424
47.38,40.616,1767.0,69.0,2023.0,0.8428571428571423,2.0450513985178094,1.1214285714285712
23.6,-1.0,1779.0,69.0,2012.0,-1.0,-1.0,-1.0
34.0,-1.0,1779.0,69.0,2013.0,-1.0,-1.0,-1.0
34.4,34.0,1779.0,69.0,2014.0,10.399999999999997,0.9388888888888886,5.399999999999998
18.7,34.2,1779.0,69.0,2015.0,5.399999999999998,0.8150724637681155,-1.430000000000001
34.3,29.033333333333335,1779.0,69.0,2016.0,-1.430000000000001,1.647583559168925,0.609999999999999
44.2,30.35,1779.0,69.0,2017.0,0.609999999999999,1.4999999999999996,2.5200000000000005
31.6,33.120000000000005,1779.0,69.0,2018.0,2.5200000000000005,2.1671952078928824,1.5821428571428569
26.5,32.64,1779.0,69.0,2019.0,0.9428571428571433,1.7060513860716702,-0.09285714285714251
44.8,31.060000000000002,1779.0,69.0,2020.0,0.2600000000000005,1.9309875241609564,1.5750000000000002
30.9,36.279999999999994,1779.0,69.0,2021.0,2.6999999999999993,2.5703898050974514,1.425
45.16,35.60000000000001,1779.0,69.0,2022.0,-0.5800000000000003,1.3231669021824464,0.6849999999999993
50.32,35.792,1779.0,69.0,2023.0,0.5999999999999985,1.5937503734241498,1.7814285714285703
25.83,-1.0,1763.0,69.0,2012.0,-1.0,-1.0,-1.0
35.9,-1.0,1763.0,69.0,2013.0,-1.0,-1.0,-1.0
37.3,35.9,1763.0,69.0,2014.0,10.069999999999997,0.8213583346832983,5.734999999999998
30.3,36.599999999999994,1763.0,69.0,2015.0,5.734999999999998,0.7907563364636977,1.4810000000000003
38.8,34.49999999999999,1763.0,69.0,2016.0,1.4810000000000003,0.6480837779324208,2.034
46.5,35.574999999999996,1763.0,69.0,2017.0,2.034,0.6975526081008743,3.0014285714285727
35.7,37.76,1763.0,69.0,2018.0,3.0014285714285727,1.189936557486527,1.868214285714286
35.2,37.71999999999999,1763.0,69.0,2019.0,1.0028571428571436,0.6250705270972531,0.3892857142857151
55.3,37.3,1763.0,69.0,2020.0,0.38285714285714384,0.6383378016085789,2.1678571428571427
26.5,42.3,1763.0,69.0,2021.0,2.954285714285714,1.7074441687344908,0.3678571428571427
52.09,39.839999999999996,1763.0,69.0,2022.0,-1.017142857142857,2.1045938375350137,0.6953571428571431
43.93,40.958,1763.0,69.0,2023.0,0.5842857142857143,2.48734165041718,0.584642857142857
22.0,-1.0,1768.0,69.0,2012.0,-1.0,-1.0,-1.0
40.4,-1.0,1768.0,69.0,2013.0,-1.0,-1.0,-1.0
37.7,40.4,1768.0,69.0,2014.0,18.39999999999999,2.7128205128205125,7.849999999999996
28.5,39.05,1768.0,69.0,2015.0,7.849999999999996,1.9724941724941722,1.6800000000000008
34.5,35.53333333333333,1768.0,69.0,2016.0,1.6800000000000008,1.67348367029549,1.310000000000001
44.4,35.275,1768.0,69.0,2017.0,1.310000000000001,1.3465849172286943,2.4314285714285715
33.0,37.1,1768.0,69.0,2018.0,2.4314285714285715,1.6157510040160636,1.3499999999999994
30.4,35.62,1768.0,69.0,2019.0,-0.31142857142857167,0.7289168573607931,-0.8392857142857143
47.6,34.160000000000004,1768.0,69.0,2020.0,-0.3742857142857147,0.7814628297362111,1.1428571428571426
31.7,37.980000000000004,1768.0,69.0,2021.0,2.0514285714285716,1.3874542124542126,0.7785714285714286
46.17,37.42,1768.0,69.0,2022.0,-0.19999999999999984,1.1777677496991579,0.8646428571428574
55.67,37.774,1768.0,69.0,2023.0,0.6328571428571432,1.3618985867592637,2.194642857142857
23.18,-1.0,1755.0,69.0,2012.0,-1.0,-1.0,-1.0
37.3,-1.0,1755.0,69.0,2013.0,-1.0,-1.0,-1.0
38.6,37.3,1755.0,69.0,2014.0,14.119999999999992,1.6482671957671953,7.709999999999997
36.2,37.95,1755.0,69.0,2015.0,7.709999999999997,1.4763854124613105,4.036000000000001
40.9,37.36666666666667,1755.0,69.0,2016.0,4.036000000000001,1.137143701951508,3.4340000000000015
47.5,38.25,1755.0,69.0,2017.0,3.4340000000000015,1.100771483709842,3.7142857142857153
38.8,40.1,1755.0,69.0,2018.0,3.7142857142857153,1.427360515021459,2.4842857142857135
36.7,40.4,1755.0,69.0,2019.0,1.1114285714285712,0.3431188187769884,0.3535714285714288
49.8,40.019999999999996,1755.0,69.0,2020.0,0.13999999999999982,0.3582251082251081,1.160714285714285
25.0,42.739999999999995,1755.0,69.0,2021.0,1.334285714285714,0.6544017607042814,-0.9500000000000002
51.1,39.56,1755.0,69.0,2022.0,-2.134285714285714,1.6344714425359588,-0.12142857142857123
54.44,40.28,1755.0,69.0,2023.0,-0.2942857142857143,2.0073456542118655,1.2042857142857142
15.22,-1.0,1754.0,69.0,2012.0,-1.0,-1.0,-1.0
35.2,-1.0,1754.0,69.0,2013.0,-1.0,-1.0,-1.0
34.2,35.2,1754.0,69.0,2014.0,19.98,3.9587504958349866,9.489999999999995
32.9,34.7,1754.0,69.0,2015.0,9.489999999999995,2.9955124871976686,5.203999999999997
35.0,34.1,1754.0,69.0,2016.0,5.203999999999997,2.297488087134105,3.7260000000000004
48.6,34.325,1754.0,69.0,2017.0,3.7260000000000004,1.935931812221348,4.714285714285714
30.6,37.18,1754.0,69.0,2018.0,4.714285714285714,2.824960222752586,2.633571428571428
26.9,36.26,1754.0,69.0,2019.0,0.6371428571428571,0.9347267128560433,-0.5857142857142861
49.4,34.8,1754.0,69.0,2020.0,-0.8514285714285718,1.3181556195965423,1.0428571428571425
35.0,38.1,1754.0,69.0,2021.0,1.1485714285714281,2.0222620113398984,0.4785714285714284
44.99,38.1,1754.0,69.0,2022.0,-0.037142857142857616,1.9390169992609014,0.7703571428571426
42.85,37.378,1754.0,69.0,2023.0,0.5042857142857147,1.9907430605687428,0.7010714285714286
16.88,-1.0,1769.0,69.0,2012.0,-1.0,-1.0,-1.0
38.6,-1.0,1769.0,69.0,2013.0,-1.0,-1.0,-1.0
36.9,38.6,1769.0,69.0,2014.0,21.72,4.251607786589763,10.009999999999993
27.1,37.75,1769.0,69.0,2015.0,10.009999999999993,3.158868441942701,2.8959999999999995
37.1,34.199999999999996,1769.0,69.0,2016.0,2.8959999999999995,2.528011382658186,2.8940000000000015
46.8,34.925,1769.0,69.0,2017.0,2.8940000000000015,2.1960986077404523,3.8657142857142865
37.6,37.3,1769.0,69.0,2018.0,3.8657142857142865,2.6731258399711537,2.8128571428571427
32.6,37.099999999999994,1769.0,69.0,2019.0,0.9914285714285714,0.8757474341811687,0.11071428571428577
47.7,36.239999999999995,1769.0,69.0,2020.0,0.5628571428571432,0.9686153140761117,1.567857142857143
33.1,40.36,1769.0,69.0,2021.0,2.2942857142857145,1.3994539100043686,0.8928571428571428
45.75,39.559999999999995,1769.0,69.0,2022.0,-0.6371428571428566,0.9269263516389952,0.3089285714285715
52.6,39.35,1769.0,69.0,2023.0,-0.10428571428571408,1.0044019024156572,1.2214285714285718
21.68,-1.0,1762.0,69.0,2012.0,-1.0,-1.0,-1.0
28.5,-1.0,1762.0,69.0,2013.0,-1.0,-1.0,-1.0
27.5,28.5,1762.0,69.0,2014.0,6.819999999999998,0.46345555998405746,2.909999999999999
32.9,28.0,1762.0,69.0,2015.0,2.909999999999999,0.3492310332990045,3.2659999999999987
42.3,29.633333333333336,1762.0,69.0,2016.0,3.2659999999999987,0.5782989690721648,4.564
44.8,32.8,1762.0,69.0,2017.0,4.564,1.5421475667189948,4.64
31.4,35.2,1762.0,69.0,2018.0,4.64,2.045555105895049,2.734285714285713
25.7,35.78,1762.0,69.0,2019.0,2.165714285714286,1.2732561877209896,0.40357142857142825
46.2,35.419999999999995,1762.0,69.0,2020.0,-0.3142857142857143,1.488660801564027,1.1000000000000005
26.5,38.08,1762.0,69.0,2021.0,0.09428571428571496,1.563584117032393,-1.0892857142857135
45.47,34.92,1762.0,69.0,2022.0,-2.2999999999999994,2.021830336560627,-0.43892857142857067
42.5,35.054,1762.0,69.0,2023.0,0.26142857142857207,2.207934217900365,0.7871428571428576
18.77,-1.0,1761.0,69.0,2012.0,-1.0,-1.0,-1.0
35.5,-1.0,1761.0,69.0,2013.0,-1.0,-1.0,-1.0
33.6,35.5,1761.0,69.0,2014.0,16.729999999999997,2.578707388981021,7.414999999999997
29.9,34.55,1761.0,69.0,2015.0,7.414999999999997,1.9097598725389782,3.148999999999998
37.5,33.0,1761.0,69.0,2016.0,3.148999999999998,1.427270739577142,3.186
44.7,34.125,1761.0,69.0,2017.0,3.186,1.4170691054292524,3.770000000000001
37.7,36.239999999999995,1761.0,69.0,2018.0,3.770000000000001,1.8763118634461837,2.824642857142857
31.9,36.67999999999999,1761.0,69.0,2019.0,1.4828571428571435,0.5602938937109795,0.4357142857142858
48.9,36.34,1761.0,69.0,2020.0,0.6314285714285717,0.6527093977395886,1.7892857142857135
31.7,40.14,1761.0,69.0,2021.0,2.034285714285714,1.152356172304134,0.5499999999999996
55.82,38.980000000000004,1761.0,69.0,2022.0,-0.6342857142857149,1.0228628800917958,1.4342857142857133
46.77,41.20399999999999,1761.0,69.0,2023.0,1.5599999999999994,1.8834131035949797,1.5089285714285712
21.45,-1.0,1760.0,69.0,2012.0,-1.0,-1.0,-1.0
34.8,-1.0,1760.0,69.0,2013.0,-1.0,-1.0,-1.0
34.7,34.8,1760.0,69.0,2014.0,13.349999999999994,1.5841999999999994,6.625
29.9,34.75,1760.0,69.0,2015.0,6.625,1.2966648341579623,2.5250000000000004
37.3,33.13333333333333,1760.0,69.0,2016.0,2.5250000000000004,0.976929044269756,2.6799999999999993
44.2,34.175,1760.0,69.0,2017.0,2.6799999999999993,1.0006196648751187,3.327142857142858
37.1,36.17999999999999,1760.0,69.0,2018.0,3.327142857142858,1.432758833703979,2.4410714285714286
35.4,36.64,1760.0,69.0,2019.0,1.3542857142857148,0.5037308868501532,0.7464285714285716
47.1,36.78,1760.0,69.0,2020.0,0.914285714285714,0.49530344617261396,1.7142857142857137
25.9,40.22,1760.0,69.0,2021.0,2.091428571428572,0.8373160173160178,-0.04285714285714298
43.54,37.940000000000005,1760.0,69.0,2022.0,-1.4285714285714284,1.213891336270191,-0.2814285714285715
51.27,37.808,1760.0,69.0,2023.0,-0.7200000000000003,1.2919967987194882,0.8782142857142856
22.55,-1.0,1778.0,69.0,2012.0,-1.0,-1.0,-1.0
30.5,-1.0,1778.0,69.0,2013.0,-1.0,-1.0,-1.0
36.3,30.5,1778.0,69.0,2014.0,7.949999999999996,0.5956880301602261,6.874999999999997
29.4,33.4,1778.0,69.0,2015.0,6.874999999999997,1.0666107069576567,2.6349999999999985
37.0,32.06666666666666,1778.0,69.0,2016.0,2.6349999999999985,0.8034684210526312,2.78
43.6,33.3,1778.0,69.0,2017.0,2.78,0.8872552166934188,3.367142857142858
35.5,35.36,1778.0,69.0,2018.0,3.367142857142858,1.3411524956107348,2.3482142857142856
36.4,36.36,1778.0,69.0,2019.0,1.5571428571428578,0.615300675145235,1.0821428571428569
50.3,36.38,1778.0,69.0,2020.0,0.7257142857142861,0.467522150931867,1.9464285714285707
27.1,40.56,1778.0,69.0,2021.0,2.7028571428571424,1.1347114556416884,0.44642857142857106
51.02,38.58,1778.0,69.0,2022.0,-0.8142857142857145,1.3513194142380742,0.8521428571428572
56.43,40.06400000000001,1778.0,69.0,2023.0,0.7371428571428574,1.7938231114026455,2.151071428571428
18.26,-1.0,1780.0,69.0,2012.0,-1.0,-1.0,-1.0
30.4,-1.0,1780.0,69.0,2013.0,-1.0,-1.0,-1.0
37.3,30.4,1780.0,69.0,2014.0,12.139999999999992,1.5143814221126175,9.519999999999994
27.6,33.849999999999994,1780.0,69.0,2015.0,9.519999999999994,2.161901659686675,3.4919999999999987
35.8,31.766666666666662,1780.0,69.0,2016.0,3.4919999999999987,1.6437935892920037,3.228
42.5,32.77499999999999,1780.0,69.0,2017.0,3.228,1.5438918050348145,3.6485714285714295
30.0,34.71999999999999,1780.0,69.0,2018.0,3.6485714285714295,1.8945289968379713,2.068571428571428
25.6,34.64,1780.0,69.0,2019.0,0.6228571428571431,0.7675507531106744,-0.503571428571428
51.9,32.3,1780.0,69.0,2020.0,-1.2742857142857138,1.0532863849765253,1.2142857142857144
31.3,37.160000000000004,1780.0,69.0,2021.0,2.2400000000000007,2.383755076538581,0.9428571428571425
44.96,36.260000000000005,1780.0,69.0,2022.0,0.03714285714285767,2.1241286657454315,0.963571428571429
45.22,36.752,1780.0,69.0,2023.0,1.2142857142857144,2.3161274639794924,1.5635714285714284
